"","id","nature.of.business","business.cycle","business.type","classification","responsibility.1","responsibility.2","responsibility.3","responsibility.4","knowledge.of.org","products.services","business.orientation","org.governance","business.process.design","risk.mgmt","budgeting","quality.mgmt","process.mgmt","value.realisation","mgmt.multiple.priority","relationship.mgmt","emotional.intelligence","partnering.for.client.success","goal.setting","organisation.structuring","planning.organising","resource.mgmt","strategic.thinking","system.thinking","talent.mgmt","visioning","managing.change","judgement.decision.making","customer.market.focus","performance.planning","programme.mgmt","embracing.challenge","enterprise.analysis","auditing","organisation.comm","public.relations","shareholder.relation","crm","cost.benefit.analysis","fin.risk.mgmt","legal.function","marketing.function","procurement.function","sales.function"
"1",1,"technology","startup","public","average","3","4","4","4","4","3","3","3","4","2","4","3","2","3","2","2","2","2","4","4","4","3","3","3","3","3","2","3","4","3","2","2","4","3","4","3","4","3","4","4","2","2","3","2"
"2",2,"others","growth","private","average","4","4","3","3","3","4","2","2","4","4","3","3","2","3","4","4","3","3","2","3","3","2","4","3","3","4","3","2","2","3","2","3","4","2","4","2","2","3","4","4","3","3","4","3"
"3",3,"utilities","stable","public","average","3","3","4","4","3","3","4","3","4","3","3","4","3","3","2","3","4","3","4","3","4","2","2","3","3","3","4","3","4","3","3","4","3","4","3","3","4","4","3","3","2","3","3","2"
"4",4,"technology","startup","public","average","4","3","3","3","4","2","3","4","3","3","4","3","3","3","2","4","2","3","3","3","4","3","2","4","4","4","4","4","4","2","4","4","3","2","2","4","4","3","2","3","3","2","3","2"
"5",5,"utilities","startup","public","average","3","2","3","3","5","3","2","4","2","3","3","3","3","4","4","2","4","4","3","3","2","3","2","4","2","4","4","2","3","3","2","3","3","4","4","4","3","3","3","3","3","2","3","3"
"6",6,"fmcg","growth","others","aboveaverage","3","5","3","4","5","4","4","4","4","4","5","4","4","4","5","4","5","4","4","4","4","4","4","4","4","4","4","5","5","4","5","4","4","4","4","5","5","4","5","4","4","4","5","4"
"7",7,"services","trough","government","average","4","2","3","4","2","2","4","4","3","4","4","4","3","2","4","3","3","3","3","3","3","4","4","4","4","4","3","4","3","3","2","4","4","4","3","3","3","2","3","3","4","4","4","4"
"8",8,"utilities","stable","gov-linked","average","3","2","2","4","2","3","4","3","3","4","3","2","2","3","2","3","4","4","3","4","3","4","3","3","2","2","2","2","3","4","4","4","2","4","3","3","4","3","4","3","2","3","3","2"
"9",9,"technology","startup","gov-linked","average","3","3","2","3","4","4","4","2","4","4","3","4","4","4","3","4","3","2","4","2","3","3","4","3","4","3","3","4","2","2","3","4","3","4","2","4","2","4","2","2","3","3","3","3"
"10",10,"financial","growth","public","average","3","4","2","4","3","3","3","3","4","4","4","3","2","3","4","3","2","3","4","3","3","3","3","3","3","4","4","3","4","3","3","3","4","4","4","3","4","3","4","4","4","4","4","3"
